date,Other,Tugs,Fishing,Barges,Tanker,PleasureCrafts,Excursion,Merchant
2011-01-01,0,242,200,61,912,85,1,2137
2011-01-15,0,292,270,95,1190,89,1,3084
2011-02-01,0,295,205,124,957,78,1,3031
2011-02-15,0,193,156,102,976,68,3,2566
2011-03-01,0,287,206,94,1171,87,14,3038
2011-03-15,0,353,318,164,1192,135,15,3692
2011-04-01,5,503,341,151,1169,134,24,4421
2011-04-15,1,565,325,155,1348,139,87,4742
2011-05-01,8,567,308,150,1492,133,282,4890
2011-05-15,0,726,278,165,1484,167,496,5484
2011-06-01,1,589,405,172,1308,241,723,5383
2011-06-15,0,708,307,200,1356,194,981,5525
2011-07-01,0,638,346,213,1330,218,1127,5102
2011-07-15,0,732,379,230,1446,215,1399,5680
2011-08-01,0,699,416,199,1253,226,1296,5320
2011-08-15,26,700,468,253,1536,252,1167,5789
2011-09-01,31,672,371,217,1313,211,815,5288
2011-09-15,23,674,370,239,1339,207,729,5678
2011-10-01,10,564,363,256,1322,124,404,5632
2011-10-15,2,607,352,288,1328,134,180,5647
2011-11-01,7,523,382,284,1292,107,33,5140
2011-11-15,3,523,283,269,1217,77,9,5363
2011-12-01,4,543,173,247,1167,75,30,5038
2011-12-15,4,464,146,126,1164,83,17,5044
2012-01-01,4,414,267,145,1030,75,4,3943
2012-01-15,7,582,189,199,1073,75,8,3458
2012-02-01,11,475,199,189,1031,63,5,3105
2012-02-15,13,421,123,182,920,75,10,2705
2012-03-01,8,403,137,224,789,91,5,2847
2012-03-15,10,473,233,160,1162,41,5,3822
2012-04-01,7,597,254,185,1078,51,48,4373
2012-04-15,7,581,306,240,1079,65,70,4593
2012-05-01,14,607,295,212,1214,81,199,4859
2012-05-15,4,672,314,225,1449,72,555,5608
2012-06-01,4,739,393,201,1385,77,821,5497
2012-06-15,6,847,357,179,1443,69,1168,5476
2012-07-01,11,622,343,206,1347,205,1512,5633
2012-07-15,14,857,336,190,1404,266,1652,5767
2012-08-01,3,799,397,218,1308,152,1434,5387
2012-08-15,6,726,465,213,1392,164,1481,5818
2012-09-01,3,686,354,221,1221,143,863,5661
2012-09-15,5,620,374,267,1198,105,530,5865
2012-10-01,6,604,381,238,1186,77,303,5478
2012-10-15,1,672,328,289,1278,57,95,5726
2012-11-01,9,575,279,190,1206,30,33,5131
2012-11-15,9,544,262,146,1270,28,27,5310
2012-12-01,13,607,218,212,1266,26,42,5044
2012-12-15,0,542,135,101,1222,5,23,4906
2013-01-01,6,506,244,113,1068,0,19,3647
2013-01-15,6,558,174,131,1007,3,7,3109
2013-02-01,7,533,140,152,1012,0,5,2924
2013-02-15,9,500,131,125,828,1,24,2842
2013-03-01,6,509,160,133,904,38,14,3135
2013-03-15,13,656,230,141,1127,55,14,4009
2013-04-01,6,693,252,216,1149,66,22,4343
2013-04-15,22,617,249,201,1290,65,73,4775
2013-05-01,8,741,268,226,1253,59,263,5139
2013-05-15,7,750,273,210,1395,113,516,5630
2013-06-01,7,791,437,224,1318,180,750,5262
2013-06-15,12,823,397,253,1294,117,1112,5133
2013-07-01,8,815,422,233,1141,210,1480,4917
2013-07-15,10,929,447,240,1063,157,1590,5336
2013-08-01,24,811,373,227,1029,218,1466,5207
2013-08-15,25,805,520,259,1358,263,1407,5844
2013-09-01,17,732,511,225,1195,205,852,5345
2013-09-15,12,777,370,211,1194,144,877,6010
2013-10-01,6,700,460,241,1081,100,491,5701
2013-10-15,8,846,403,382,1258,93,232,5719
2013-11-01,9,893,295,265,1108,20,47,5109
2013-11-15,9,810,284,215,1203,22,18,5556
2013-12-01,12,732,215,186,1273,17,20,4768
2013-12-15,4,677,148,127,1268,19,6,4886
2014-01-01,6,622,233,131,1083,17,2,3739
2014-01-15,10,661,217,171,1161,23,38,3673
2014-02-01,10,638,150,144,1090,24,20,3013
2014-02-15,18,535,145,141,862,17,46,2542
2014-03-01,14,529,215,154,989,51,37,3043
