date,Merchant,Barges,Other,Tugs,Tanker,Fishing,PleasureCrafts,Excursion
2011-01-01,2137,61,0,242,912,200,85,1
2011-01-15,3084,95,0,292,1190,270,89,1
2011-02-01,3031,124,0,295,957,205,78,1
2011-02-15,2566,102,0,193,976,156,68,3
2011-03-01,3038,94,0,287,1171,206,87,14
2011-03-15,3692,164,0,353,1192,318,135,15
2011-04-01,4421,151,5,503,1169,341,134,24
2011-04-15,4742,155,1,565,1348,325,139,87
2011-05-01,4890,150,8,567,1492,308,133,282
2011-05-15,5484,165,0,726,1484,278,167,496
2011-06-01,5383,172,1,589,1308,405,241,723
2011-06-15,5525,200,0,708,1356,307,194,981
2011-07-01,5102,213,0,638,1330,346,218,1127
2011-07-15,5680,230,0,732,1446,379,215,1399
2011-08-01,5320,199,0,699,1253,416,226,1296
2011-08-15,5789,253,26,700,1536,468,252,1167
2011-09-01,5288,217,31,672,1313,371,211,815
2011-09-15,5678,239,23,674,1339,370,207,729
2011-10-01,5632,256,10,564,1322,363,124,404
2011-10-15,5647,288,2,607,1328,352,134,180
2011-11-01,5140,284,7,523,1292,382,107,33
2011-11-15,5363,269,3,523,1217,283,77,9
2011-12-01,5038,247,4,543,1167,173,75,30
2011-12-15,5044,126,4,464,1164,146,83,17
2012-01-01,3943,145,4,414,1030,267,75,4
2012-01-15,3458,199,7,582,1073,189,75,8
2012-02-01,3105,189,11,475,1031,199,63,5
2012-02-15,2705,182,13,421,920,123,75,10
2012-03-01,2847,224,8,403,789,137,91,5
2012-03-15,3822,160,10,473,1162,233,41,5
2012-04-01,4373,185,7,597,1078,254,51,48
2012-04-15,4593,240,7,581,1079,306,65,70
2012-05-01,4859,212,14,607,1214,295,81,199
2012-05-15,5608,225,4,672,1449,314,72,555
2012-06-01,5497,201,4,739,1385,393,77,821
2012-06-15,5476,179,6,847,1443,357,69,1168
2012-07-01,5633,206,11,622,1347,343,205,1512
2012-07-15,5767,190,14,857,1404,336,266,1652
2012-08-01,5387,218,3,799,1308,397,152,1434
2012-08-15,5818,213,6,726,1392,465,164,1481
2012-09-01,5661,221,3,686,1221,354,143,863
2012-09-15,5865,267,5,620,1198,374,105,530
2012-10-01,5478,238,6,604,1186,381,77,303
2012-10-15,5726,289,1,672,1278,328,57,95
2012-11-01,5131,190,9,575,1206,279,30,33
2012-11-15,5310,146,9,544,1270,262,28,27
2012-12-01,5044,212,13,607,1266,218,26,42
2012-12-15,4906,101,0,542,1222,135,5,23
2013-01-01,3647,113,6,506,1068,244,0,19
2013-01-15,3109,131,6,558,1007,174,3,7
2013-02-01,2924,152,7,533,1012,140,0,5
2013-02-15,2842,125,9,500,828,131,1,24
2013-03-01,3135,133,6,509,904,160,38,14
2013-03-15,4009,141,13,656,1127,230,55,14
2013-04-01,4343,216,6,693,1149,252,66,22
2013-04-15,4775,201,22,617,1290,249,65,73
2013-05-01,5139,226,8,741,1253,268,59,263
2013-05-15,5630,210,7,750,1395,273,113,516
2013-06-01,5262,224,7,791,1318,437,180,750
2013-06-15,5133,253,12,823,1294,397,117,1112
2013-07-01,4917,233,8,815,1141,422,210,1480
2013-07-15,5336,240,10,929,1063,447,157,1590
2013-08-01,5207,227,24,811,1029,373,218,1466
2013-08-15,5844,259,25,805,1358,520,263,1407
2013-09-01,5345,225,17,732,1195,511,205,852
2013-09-15,6010,211,12,777,1194,370,144,877
2013-10-01,5701,241,6,700,1081,460,100,491
2013-10-15,5719,382,8,846,1258,403,93,232
2013-11-01,5109,265,9,893,1108,295,20,47
2013-11-15,5556,215,9,810,1203,284,22,18
2013-12-01,4768,186,12,732,1273,215,17,20
2013-12-15,4886,127,4,677,1268,148,19,6
2014-01-01,3739,131,6,622,1083,233,17,2
2014-01-15,3673,171,10,661,1161,217,23,38
2014-02-01,3013,144,10,638,1090,150,24,20
2014-02-15,2542,141,18,535,862,145,17,46
2014-03-01,3043,154,14,529,989,215,51,37
2014-03-15,3437,135,24,581,1047,188,58,57
2014-04-01,4282,176,27,590,1024,230,66,48
2014-04-15,4816,149,6,555,1132,213,51,92
2014-05-01,5713,184,12,561,1382,258,102,280
2014-05-15,6488,182,10,721,1342,278,83,497
2014-06-01,5879,206,18,702,1336,431,105,749
2014-06-15,5912,244,8,679,1222,292,147,1159
2014-07-01,6019,216,4,763,1370,296,138,1326
2014-07-15,6549,258,5,613,1396,409,215,1554
2014-08-01,6129,228,8,688,1348,398,322,1388
2014-08-15,6413,193,10,620,1411,452,394,1441
2014-09-01,6013,231,6,627,1247,379,290,809
2014-09-15,5996,256,13,757,1225,412,151,740
2014-10-01,5689,250,6,684,1193,325,122,398
2014-10-15,6479,259,10,808,1327,345,88,135
2014-11-01,5850,246,5,664,1179,335,40,33
2014-11-15,5861,230,3,705,1267,255,52,29
2014-12-01,5504,165,4,716,1348,220,36,26
2014-12-15,5266,109,5,618,1433,155,35,10
2015-01-01,3572,130,2,581,1136,208,32,5
2015-01-15,3341,96,11,621,1216,191,34,8
2015-02-01,2762,97,4,568,1052,138,30,0
2015-02-15,2472,87,5,546,832,171,26,3
2015-03-01,3147,103,23,548,1092,209,55,7
2015-03-15,3325,117,15,637,1027,167,73,4
2015-04-01,4006,130,3,569,1017,219,70,8
2015-04-15,4756,184,12,656,1188,229,89,67
2015-05-01,5328,176,12,588,1312,201,87,327
2015-05-15,5763,190,6,612,1383,264,109,529
2015-06-01,5328,130,14,683,1327,318,100,647
2015-06-15,5383,131,8,608,1351,312,114,1172
2015-07-01,5394,152,9,662,1385,297,176,1438
2015-07-15,5491,134,10,641,1299,291,268,1566
2015-08-01,5307,173,18,636,1381,305,354,1523
2015-08-15,5937,165,23,697,1462,352,293,1648
2015-09-01,5681,122,21,604,1364,319,191,969
2015-09-15,6289,146,5,719,1276,294,126,798
2015-10-01,6019,133,4,634,1423,364,78,412
2015-10-15,6280,185,11,625,1450,326,41,194
2015-11-01,5220,117,5,662,1248,265,11,47
2015-11-15,5471,173,9,563,1124,286,1,33
2015-12-01,5238,125,14,509,1186,218,4,26
2015-12-15,4938,63,15,507,1230,192,1,5
2016-01-01,3465,86,17,433,1052,244,2,11
2016-01-15,3252,61,10,487,1066,235,0,25
2016-02-01,2990,91,4,434,853,193,3,50
2016-02-15,2914,108,13,477,936,203,0,34
2016-03-01,3370,122,37,479,933,205,28,9
2016-03-15,3652,119,13,424,1069,253,52,37
2016-04-01,4069,142,7,439,1115,233,51,65
2016-04-15,4570,150,12,488,1109,233,93,160
2016-05-01,4686,172,3,470,1103,244,85,345
2016-05-15,5142,138,38,541,1371,256,63,673
2016-06-01,4729,164,13,590,1509,345,81,721
2016-06-15,5141,173,13,636,1510,366,100,1324
2016-07-01,5191,156,30,521,1262,335,195,1446
2016-07-15,5649,149,7,513,1449,318,286,1741
2016-08-01,5416,154,20,523,1360,301,346,1560
2016-08-15,6058,202,11,505,1353,357,378,1512
2016-09-01,5635,177,8,491,1243,307,222,1189
2016-09-15,6097,152,29,516,1172,277,152,1031
2016-10-01,5889,214,20,494,1307,345,89,685
2016-10-15,6293,221,34,642,1402,377,67,277
2016-11-01,5567,222,13,584,1280,266,6,38
2016-11-15,5670,158,14,575,1164,248,4,9
2016-12-01,5499,152,10,506,1077,283,3,22
2016-12-15,5341,97,3,482,1227,119,6,13
2017-01-01,3943,119,3,446,1099,182,6,1
2017-01-15,3481,169,0,416,1097,241,2,0
2017-02-01,3115,142,11,352,978,121,9,5
2017-02-15,2851,127,4,355,822,100,4,4
2017-03-01,3166,164,23,455,956,171,39,3
2017-03-15,3846,196,9,475,1058,174,65,5
2017-04-01,4349,243,2,556,1095,184,56,35
2017-04-15,4818,221,1,530,1165,160,94,131
2017-05-01,5177,255,13,582,1275,201,98,321
2017-05-15,5530,250,5,621,1413,304,115,598
2017-06-01,5460,240,10,640,1350,359,121,871
2017-06-15,5495,190,7,795,1347,301,160,1348
